# control	iso_ref  (from NIST OLIR 800-53r5 -> ISO 27001:2022, public domain)
AC-1	5.2
AC-1	5.3
AC-1	7.5.1
AC-1	7.5.2
AC-1	7.5.3
AC-1	A.5.1
AC-1	A.5.15
AC-1	A.5.2
AC-1	A.5.31
AC-1	A.5.36
AC-1	A.5.37
AC-1	A.5.4
AC-11	A.7.7
AC-11	A.8.1
AC-17	A.5.14
AC-17	A.6.7
AC-17(1)	A.8.16
AC-18	A.5.14
AC-18	A.8.20
AC-19	A.5.14
AC-19	A.7.9
AC-19	A.8.1
AC-2	A.5.16
AC-2	A.5.18
AC-2	A.8.2
AC-2(12)	A.8.16
AC-20	A.5.14
AC-20	A.7.9
AC-20	A.8.20
AC-24	A.8.3
AC-3	A.5.15
AC-3	A.5.33
AC-3	A.8.18
AC-3	A.8.20
AC-3	A.8.26
AC-3	A.8.3
AC-3	A.8.4
AC-3(11)	A.8.4
AC-4	A.5.14
AC-4	A.8.22
AC-4	A.8.23
AC-4(23)	A.8.11
AC-4(25)	A.8.10
AC-5	A.5.3
AC-6	A.5.15
AC-6	A.8.18
AC-6	A.8.2
AC-7	A.8.5
AC-7(2)	A.8.10
AC-8	A.8.5
AC-9	A.8.5
AT-1	5.2
AT-1	5.3
AT-1	7.5.1
AT-1	7.5.2
AT-1	7.5.3
AT-1	A.5.1
AT-1	A.5.2
AT-1	A.5.31
AT-1	A.5.36
AT-1	A.5.37
AT-1	A.5.4
AT-2	7.3
AT-2	A.6.3
AT-2	A.8.7
AT-3	A.6.3
AU-1	5.2
AU-1	5.3
AU-1	7.5.1
AU-1	7.5.2
AU-1	7.5.3
AU-1	A.5.1
AU-1	A.5.2
AU-1	A.5.31
AU-1	A.5.36
AU-1	A.5.37
AU-1	A.5.4
AU-10(3)	A.5.28
AU-11	A.5.28
AU-11	A.8.15
AU-12	A.8.15
AU-13	A.8.12
AU-13	A.8.16
AU-14	A.8.15
AU-2	A.8.15
AU-3	A.5.28
AU-3	A.8.15
AU-4	A.8.6
AU-6	A.5.25
AU-6	A.6.8
AU-6	A.8.15
AU-6(6)	A.7.4
AU-8	A.8.17
AU-9	A.5.33
AU-9	A.8.15
CA-1	5.2
CA-1	5.3
CA-1	7.5.1
CA-1	7.5.2
CA-1	7.5.3
CA-1	9.2.2
CA-1	9.3.1
CA-1	A.5.1
CA-1	A.5.2
CA-1	A.5.31
CA-1	A.5.36
CA-1	A.5.37
